id,class,product_name,serving_size,calorie_kJ,calorie_kcal,carbohydrate,sugar,protein,fat,fat_2,fat_3,fat_4,fat_5,dietary_fiber,potassium,cholesterol,salt,voice_1,voice_2
20,pepsi_zero,제로콜라 펩시,1인분 (355 ml),0 kJ,0 kcal,0.00g,0.00g,0.00g,0.00g,0.000g,0.000g,0.000g,0.000g,0.0g,0mg,0mg,95mg,1인분 355 ml안에0 kcal가 있습니다.,설탕당은 0.00g 지방은 0.00g 나트륨은 95mg 이 포함되어있습니다.
21,picnic_apple,피크닉 사과,1회 (200 ml),293 kJ,70 kcal,17.00g,16.00g,1.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,60mg,1회 200 ml안에70 kcal가 있습니다.,설탕당은 16.00g 지방은 0.00g 나트륨은 60mg 이 포함되어있습니다.
22,pocarisweat,포카리스웨트 500ml,1병 (500 ml),523 kJ,125 kcal,31.00g,30.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,250mg,1병 500 ml안에125 kcal가 있습니다.,설탕당은 30.00g 지방은 0.00g 나트륨은 250mg 이 포함되어있습니다.
23,powerO2_orange,파워오투 오렌지,1인분 (500 ml),372 kJ,89 kcal,21.00g,21.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,6mg,1인분 500 ml안에89 kcal가 있습니다.,설탕당은 21.00g 지방은 0.00g 나트륨은 6mg 이 포함되어있습니다.
24,powerade_mountainblast,파워에이드 마운틴블라스트 600ml,1페트 (355 ml),151 kJ,36 kcal,9.00g,9.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,188mg,1페트 355 ml안에36 kcal가 있습니다.,설탕당은 9.00g 지방은 0.00g 나트륨은 188mg 이 포함되어있습니다.
25,sprite,스프라이트 355ml,1캔 (355 ml),669 kJ,160 kcal,40.00g,40.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,33mg,1캔 355 ml안에160 kcal가 있습니다.,설탕당은 40.00g 지방은 0.00g 나트륨은 33mg 이 포함되어있습니다.
26,sprite_zero,스프라이트 제로,1캔 (500 ml),0 kJ,0 kcal,0.20g,0.00g,0.00g,0.00g,0.000g,0.000g,0.000g,0.000g,0.0g,0mg,0mg,3mg,1캔 500 ml안에0 kcal가 있습니다.,설탕당은 0.00g 지방은 0.00g 나트륨은 3mg 이 포함되어있습니다.
27,starbucks_cafelatte,스타벅스 컵커피 카페라떼,1개 (270 ml),900 kJ,215 kcal,23.00g,20.00g,6.10g,10.80g,0.500g,5.700g,null,null,null,null,33mg,154mg,1개 270 ml안에215 kcal가 있습니다.,설탕당은 20.00g 지방은 10.80g 나트륨은 154mg 이 포함되어있습니다.
28,toreta,토레타,1병 (500 ml),347 kJ,83 kcal,20.00g,20.00g,0.80g,0.00g,0.000g,0.000g,null,null,null,null,0mg,291mg,1병 500 ml안에83 kcal가 있습니다.,설탕당은 20.00g 지방은 0.00g 나트륨은 291mg 이 포함되어있습니다.
29,welchs_grape,웰치스 그레이프맛,1캔 (355 ml),803 kJ,192 kcal,48.00g,46.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,0mg,1캔 355 ml안에192 kcal가 있습니다.,설탕당은 46.00g 지방은 0.00g 나트륨은 0mg 이 포함되어있습니다.
