title
대구 달서구 2021년 공공도서관 독서보조기기 국고지원 사업 선정
[해외 장애계 뉴스 브리핑] 홍보 전략으로 전락한 '포괄적 디자인'
저시력 시각장애인용 화면확대 앱 ‘플로위’ 출시
[디지털경제 성장엔진 ICT기금]〈4〉NIPA AI바우처로 3400여개 中企 디지털...
저시력자용 인공지능 영상인식 솔루션 '이달의 한국판뉴딜'
저시력자에게 가독성 높은 서체 ‘KoddiUD온고딕’ 나왔다
저시력자 가독성↑' 유니버설디자인 서체 배포
청주오창호수도서관 저시력자용 큰글자 도서?점자도서 확충
나주공공도서관 저시력자를 위한 독서보조기기 설치/운영
청주오창호수도서관 저시력자용 큰글자 도서 등 확충
카카오톡 iOS 버전 저시력자·시각장애인 접근성 개선
과기정통부 지원 저시력자용 AI앱 5월 뉴딜사업 선정
경북도 '경북형 소셜벤처' 10개사 선정
오산시 저시력자·색각이상자 위한 보이는 ARS 세금 납부서비스 본격운영
‘저시력자·휠체어 이용자도 무인발급기 이용 편하게’…표준규격 개정
영양군 민원실에 고령자 및 저시력자 배려 ‘큰 글씨’ 도서 비치 호응
코로나 예방 '민원창구 투명 가림막'… 저시력자·시각장애인에 '또 다른 벽'
"[더벨]박영숙 에이티랩 대표 ""글로벌 '저시력자' 동반자"""
장애인 콜택시 부르면 1시간 반 대기... '모두를 위한 택시' 어때요
병무청 가짜 저시력자 잡아낸다…경찰청과 운전자 시력 자료 공유
더 선명해진 카톡 글자 이토록 작은 서비스 개선도 시각 장애인에겐 큰 선물...
‘셔틀콕 된 드론’…시력 안 좋아도 배드민턴 친다
저시력자 눈 밝힌 '릴루미노' 적외선 카메라 개발 '이그니스' [연중기획-창의...
국정원 홈페이지 개편... 사용자 편의성 강화하고 국민과 소통한다
국립장애인도서관 시각장애인·저시력자 위한 수식 음성변환 규칙 제정
[기업성장 디딤돌 ‘ICT R&D 혁신바우처’] AI로 사물·색상 인식 시각장애인...
포씨게이트 스마트병원용 장애인 키오스크 출시
