title
오버플로우 저시력 시각장애인 위한 솔루션 어플 'Flowy' 개발
법무법인 율촌 자폐성 장애인 지원 '오티즘 레이스' 참여
코레일톡 어플 개발에도 장애인 감수성 필요
코레일톡 어플 개발에도 장애인 감수성 필요
'배달어플' 급성장속 한숨 느는 자영업자들
발달장애인 학대예방을 위한 '온라인 안전하게 사용하기' 자료 발간
이정인 서울시의원 “면밀한 실태조사 없이 엔젤아이즈 어플 폐기 언급은 직...
[특별기획-독서인권] 시각장애인 한혜경씨 "온라인 세계에서도 우리는 배제되...
'장애 아들 · 노모 부양' 버거운 삶에 일가족 극단 선택
"안내견이 말을 할 수 있다면"… 드라마 스타트업 AI 시각장애인 어플 개발 ...
㈜에스엠플래닛 새마을금고 지원으로 시각 장애인 전용 스마트폰 솔루션 개발
새마을금고 지원받아 에스엠플래닛 시각 장애인 전용 스마트폰 솔루션 개발 눈...
㈜에스엠플래닛 시각장애인 전용 스마트폰 솔루션 7월 출시
"장애인 팝니다" 여중생 교사에 욕설해 소년원행
'스타트업' 배수지♥남주혁 키스로 마음 확인…시각장애인을 위한 어플 선택...
'스타트업' 김선호 배수지 시각장애인 어플 제안에 '파란 불' 설렘
‘인권위 드라이브 스루 장애차별 용인’ 반발
대전시 공공데이터 청년인턴 사업 어플 ‘불이야’ 대상
로컬푸드빅마트 “시각장애인용 쇼핑 어플에 상품 공급”
인천시 장애인 콜택시 더 안전하고 쾌적하게!
인천시 장애인 콜택시 24대 증차 노후차량 18대 교체
인천 모든 장애인콜택시 비말 차단막 설치
음료 34개 중 '점자' 제품명 표기는 단 하나…시각장애인의 고충
휠체어 장애인 편의 돕는 '휘리릭' 어플 개발
'스타트업' 배수지♥남주혁 첫키스로 마음확인→시각장애인 앱 개발
여수형 장애인주차구역 안내판 설치
'여수형 장애인주차구역 ' 태양열 LED로 밤에도 선명하게 안내
김해시장애인체육회 ‘비대면 뉴스포츠 페스티벌’ 마무리
장재성 광주시의원 장애인 등 교통약자 이동권 불편 '심화'
[소셜스토리2020] "장애인들의 '두 발' 전동휠체어…멈추는 일 없도록"
김해시장애인체육회 화합대잔치 오늘 개최
김해시장애인체육회 비대면 스포츠페스티벌 열어
