age,N_CA
10대 중반,518.33
10대 초반,534.73
10대 후반,487.4
10세 미만,478.25
20대 중반,475.82
20대 초반,420.58
20대 후반,509.39
30대 중반,535.38
30대 초반,549.07
30대 후반,516.51
40대 중반,522.94
40대 초반,542.22
40대 후반,559.76
50대 중반,504.48
50대 초반,514.31
50대 후반,535.77
60대 중반,503.48
60대 초반,540.67
60대 후반,473.91
70대 중반,379.45
70대 초반,461.15
70대 후반,353.11
80세 이상,351.64
