age,N_DUSUAL_1
10대 중반,70
10대 초반,57
10대 후반,37
10세 미만,73
20대 중반,49
20대 초반,33
20대 후반,52
30대 중반,81
30대 초반,58
30대 후반,77
40대 중반,77
40대 초반,59
40대 후반,51
50대 중반,71
50대 초반,51
50대 후반,61
60대 중반,55
60대 초반,43
60대 후반,32
70대 중반,23
70대 초반,32
70대 후반,14
80세 이상,10
