age,n_eye,N_DUSUAL_1,N_DUSUAL_2,N_VA,N_WAT_C,N_CA,N_CHO,N_PROT,N_FAT,HE_HP,HE_BMI,smoke,E_Q_FAM,E_Q_SUN,BP8
10대 중반,40,57,101,692.42,4.34,471.8,312.44,68.47,49.01,0,20.85,0,119,93,7.39
10대 초반,20,48,52,701.6,4.33,503.93,303.82,65.56,44.06,0,19.1,0,28,24,8.0
10대 후반,42,40,65,665.79,5.01,434.5,295.82,65.35,48.02,4,21.73,25,63,60,7.0
10세 미만,28,83,153,515.51,5.33,440.93,213.05,46.34,31.83,0,16.75,0,0,0,8.0
20대 중반,21,93,48,792.16,5.83,503.4,291.28,76.67,52.79,30,22.5,152,70,78,7.04
20대 초반,20,46,31,726.1,5.3,464.39,277.84,69.43,47.2,7,21.93,79,45,54,7.37
20대 후반,13,76,50,838.71,5.4,522.53,305.93,75.36,49.51,28,22.94,183,68,63,7.08
30대 중반,17,116,46,856.26,5.16,509.58,315.69,74.48,46.32,61,23.21,270,153,98,6.96
30대 초반,11,65,45,837.88,5.32,504.03,314.02,74.25,46.33,40,23.05,163,79,56,7.18
30대 후반,16,80,42,809.36,5.05,492.23,314.46,71.77,42.34,63,23.55,190,111,87,6.96
40대 중반,15,104,46,813.31,5.13,475.63,302.81,67.75,37.5,135,24.03,215,128,133,6.84
40대 초반,11,98,35,909.66,5.02,512.0,317.32,74.2,42.28,88,23.72,212,129,96,6.84
40대 후반,21,74,38,832.82,5.13,494.58,310.14,67.71,34.63,145,24.12,193,111,116,6.78
50대 중반,23,52,31,885.38,7.38,506.92,317.14,63.07,30.13,200,24.35,185,86,152,6.79
50대 초반,14,58,39,815.94,5.16,515.34,306.07,65.87,33.88,148,24.24,173,86,123,6.77
50대 후반,14,35,22,841.65,5.3,508.42,336.79,67.68,29.64,159,24.6,131,62,118,6.63
60대 중반,29,41,21,757.34,7.47,456.55,320.17,61.5,26.63,238,24.28,184,59,197,6.77
60대 초반,23,38,16,745.87,5.07,460.58,316.16,60.85,27.63,208,24.22,156,55,162,6.76
60대 후반,41,35,19,675.84,7.24,422.94,300.53,54.98,22.24,225,24.12,151,40,177,6.29
70대 중반,51,18,19,595.58,4.0,414.17,275.88,47.9,19.64,231,23.19,152,18,168,6.72
70대 초반,38,11,13,609.74,4.27,410.26,290.74,49.31,19.8,193,23.92,128,28,141,6.45
70대 후반,39,3,10,537.6,3.72,360.04,273.42,45.97,16.67,125,23.25,75,13,72,6.33
80세 이상,62,8,16,411.6,3.48,302.34,237.22,39.88,14.98,157,22.69,87,11,52,7.07
