age,HE_HP
10대 중반,0
10대 초반,0
10대 후반,1
10세 미만,0
20대 중반,9
20대 초반,4
20대 후반,5
30대 중반,51
30대 초반,23
30대 후반,51
40대 중반,104
40대 초반,56
40대 후반,83
50대 중반,150
50대 초반,108
50대 후반,126
60대 중반,209
60대 초반,131
60대 후반,175
70대 중반,186
70대 초반,162
70대 후반,89
80세 이상,119
