age,N_CHO
10대 중반,352.12
10대 초반,323.89
10대 후반,328.3
10세 미만,230.21
20대 중반,293.24
20대 초반,294.3
20대 후반,302.43
30대 중반,320.48
30대 초반,310.29
30대 후반,304.91
40대 중반,322.37
40대 초반,319.09
40대 후반,323.76
50대 중반,321.18
50대 초반,321.39
50대 후반,324.28
60대 중반,329.18
60대 초반,336.56
60대 후반,323.8
70대 중반,302.12
70대 초반,313.28
70대 후반,285.88
80세 이상,259.51
