age,N_VA
10대 중반,714.71
10대 초반,634.77
10대 후반,683.36
10세 미만,526.42
20대 중반,792.75
20대 초반,610.32
20대 후반,817.67
30대 중반,814.4
30대 초반,809.82
30대 후반,887.51
40대 중반,948.3
40대 초반,905.37
40대 후반,882.51
50대 중반,830.97
50대 초반,888.64
50대 후반,807.48
60대 중반,692.79
60대 초반,803.62
60대 후반,614.04
70대 중반,466.75
70대 초반,552.62
70대 후반,543.76
80세 이상,407.96
