age,smoke
10대 중반,0
10대 초반,0
10대 후반,22
10세 미만,0
20대 중반,160
20대 초반,71
20대 후반,118
30대 중반,263
30대 초반,150
30대 후반,217
40대 중반,222
40대 초반,176
40대 후반,161
50대 중반,185
50대 초반,148
50대 후반,124
60대 중반,160
60대 초반,135
60대 후반,127
70대 중반,134
70대 초반,127
70대 후반,65
80세 이상,80
