age,HE_BMI
10대 중반,21.18
10대 초반,18.91
10대 후반,21.4
10세 미만,
20대 중반,22.36
20대 초반,21.68
20대 후반,23.0
30대 중반,23.0
30대 초반,23.31
30대 후반,23.14
40대 중반,24.02
40대 초반,24.11
40대 후반,23.76
50대 중반,23.97
50대 초반,24.08
50대 후반,24.36
60대 중반,24.22
60대 초반,24.63
60대 후반,23.92
70대 중반,23.86
70대 초반,24.12
70대 후반,23.08
80세 이상,22.52
