age,N_DUSUAL_2
10대 중반,41
10대 초반,31
10대 후반,46
10세 미만,143
20대 중반,51
20대 초반,32
20대 후반,24
30대 중반,56
30대 초반,23
30대 후반,41
40대 중반,50
40대 초반,42
40대 후반,35
50대 중반,31
50대 초반,29
50대 후반,36
60대 중반,32
60대 초반,34
60대 후반,14
70대 중반,28
70대 초반,14
70대 후반,11
80세 이상,26
