age,BP8
10대 중반,7.21
10대 초반,8.17
10대 후반,7.13
10세 미만,0.0
20대 중반,7.62
20대 초반,7.55
20대 후반,7.16
30대 중반,7.04
30대 초반,7.28
30대 후반,7.12
40대 중반,7.18
40대 초반,7.45
40대 후반,7.33
50대 중반,7.27
50대 초반,7.39
50대 후반,7.28
60대 중반,7.09
60대 초반,6.94
60대 후반,7.18
70대 중반,7.57
70대 초반,7.32
70대 후반,8.64
80세 이상,9.65
