age,N_WAT_C
10대 중반,5.02
10대 초반,6.8
10대 후반,4.78
10세 미만,3.96
20대 중반,5.48
20대 초반,5.22
20대 후반,10.02
30대 중반,5.32
30대 초반,5.47
30대 후반,5.3
40대 중반,5.29
40대 초반,5.35
40대 후반,5.47
50대 중반,7.97
50대 초반,5.3
50대 후반,8.69
60대 중반,7.33
60대 초반,4.73
60대 후반,4.81
70대 중반,4.29
70대 초반,4.24
70대 후반,4.14
80세 이상,3.51
