age,N_CHO
10대 중반,312.44
10대 초반,303.82
10대 후반,295.82
10세 미만,213.05
20대 중반,291.28
20대 초반,277.84
20대 후반,305.93
30대 중반,315.69
30대 초반,314.02
30대 후반,314.46
40대 중반,302.81
40대 초반,317.32
40대 후반,310.14
50대 중반,317.14
50대 초반,306.07
50대 후반,336.79
60대 중반,320.17
60대 초반,316.16
60대 후반,300.53
70대 중반,275.88
70대 초반,290.74
70대 후반,273.42
80세 이상,237.22
