age,N_WAT_C
10대 중반,4.54
10대 초반,4.52
10대 후반,5.38
10세 미만,3.02
20대 중반,5.83
20대 초반,4.79
20대 후반,5.67
30대 중반,5.35
30대 초반,5.83
30대 후반,5.19
40대 중반,5.61
40대 초반,5.26
40대 후반,5.59
50대 중반,5.08
50대 초반,5.18
50대 후반,5.44
60대 중반,5.28
60대 초반,5.17
60대 후반,5.09
70대 중반,4.54
70대 초반,4.79
70대 후반,4.14
80세 이상,3.92
