age,HE_BMI
10대 중반,20.96
10대 초반,19.08
10대 후반,22.2
10세 미만,16.41
20대 중반,22.45
20대 초반,22.16
20대 후반,22.95
30대 중반,23.26
30대 초반,23.44
30대 후반,23.72
40대 중반,23.96
40대 초반,23.86
40대 후반,23.72
50대 중반,24.23
50대 초반,24.23
50대 후반,24.41
60대 중반,24.54
60대 초반,24.35
60대 후반,23.85
70대 중반,23.99
70대 초반,24.03
70대 후반,23.55
80세 이상,22.85
