age,FS_COFFEE
10대 중반,0.0
10대 초반,0.0
10대 후반,0.0
10세 미만,0.0
20대 중반,6.12
20대 초반,6.33
20대 후반,6.32
30대 중반,5.62
30대 초반,6.03
30대 후반,5.08
40대 중반,5.2
40대 초반,5.21
40대 후반,5.13
50대 중반,4.98
50대 초반,5.96
50대 후반,5.38
60대 중반,5.71
60대 초반,4.86
60대 후반,0.0
70대 중반,0.0
70대 초반,0.0
70대 후반,0.0
80세 이상,0.0
