age,N_FAT
10대 중반,57.29
10대 초반,56.76
10대 후반,62.56
10세 미만,40.07
20대 중반,60.88
20대 초반,63.17
20대 후반,60.47
30대 중반,55.09
30대 초반,55.2
30대 후반,53.21
40대 중반,45.49
40대 초반,53.7
40대 후반,40.33
50대 중반,37.01
50대 초반,41.64
50대 후반,35.37
60대 중반,28.25
60대 초반,33.62
60대 후반,29.85
70대 중반,22.41
70대 초반,23.72
70대 후반,22.12
80세 이상,17.45
