age,N_CA
10대 중반,462.34
10대 초반,523.46
10대 후반,472.03
10세 미만,504.85
20대 중반,483.6
20대 초반,490.9
20대 후반,494.83
30대 중반,544.96
30대 초반,508.36
30대 후반,513.42
40대 중반,499.49
40대 초반,535.48
40대 후반,486.61
50대 중반,501.36
50대 초반,530.34
50대 후반,487.01
60대 중반,445.78
60대 초반,477.66
60대 후반,447.89
70대 중반,355.68
70대 초반,417.54
70대 후반,372.43
80세 이상,295.06
