age,HE_BMI
10대 중반,21.31
10대 초반,19.03
10대 후반,22.23
10세 미만,16.46
20대 중반,22.32
20대 초반,22.04
20대 후반,23.21
30대 중반,23.56
30대 초반,23.29
30대 후반,23.56
40대 중반,23.97
40대 초반,23.38
40대 후반,23.58
50대 중반,23.84
50대 초반,24.09
50대 후반,24.25
60대 중반,24.35
60대 초반,24.41
60대 후반,23.95
70대 중반,23.66
70대 초반,24.1
70대 후반,23.89
80세 이상,22.94
