age,N_WAT_C
10대 중반,4.34
10대 초반,4.33
10대 후반,5.01
10세 미만,5.33
20대 중반,5.83
20대 초반,5.3
20대 후반,5.4
30대 중반,5.16
30대 초반,5.32
30대 후반,5.05
40대 중반,5.13
40대 초반,5.02
40대 후반,5.13
50대 중반,7.38
50대 초반,5.16
50대 후반,5.3
60대 중반,7.47
60대 초반,5.07
60대 후반,7.24
70대 중반,4.0
70대 초반,4.27
70대 후반,3.72
80세 이상,3.48
