age,HE_HP
10대 중반,0
10대 초반,0
10대 후반,2
10세 미만,0
20대 중반,9
20대 초반,2
20대 후반,10
30대 중반,39
30대 초반,11
30대 후반,50
40대 중반,100
40대 초반,52
40대 후반,80
50대 중반,168
50대 초반,92
50대 후반,139
60대 중반,205
60대 초반,129
60대 후반,187
70대 중반,213
70대 초반,179
70대 후반,146
80세 이상,182
