age,BP8
10대 중반,7.61
10대 초반,8.22
10대 후반,7.14
10세 미만,0.0
20대 중반,7.27
20대 초반,7.26
20대 후반,7.15
30대 중반,7.06
30대 초반,7.12
30대 후반,6.91
40대 중반,6.95
40대 초반,6.83
40대 후반,6.93
50대 중반,6.75
50대 초반,6.77
50대 후반,6.65
60대 중반,6.63
60대 초반,6.81
60대 후반,6.61
70대 중반,6.47
70대 초반,6.46
70대 후반,6.72
80세 이상,7.39
