age,N_DUSUAL_1
10대 중반,48
10대 초반,55
10대 후반,38
10세 미만,96
20대 중반,59
20대 초반,39
20대 후반,39
30대 중반,89
30대 초반,53
30대 후반,80
40대 중반,108
40대 초반,86
40대 후반,76
50대 중반,97
50대 초반,68
50대 후반,75
60대 중반,77
60대 초반,57
60대 후반,37
70대 중반,25
70대 초반,28
70대 후반,18
80세 이상,25
