age,N_VA
10대 중반,526.92
10대 초반,600.59
10대 후반,491.61
10세 미만,456.6
20대 중반,560.25
20대 초반,683.04
20대 후반,557.12
30대 중반,642.45
30대 초반,680.84
30대 후반,601.42
40대 중반,646.93
40대 초반,647.98
40대 후반,647.77
50대 중반,727.89
50대 초반,646.21
50대 후반,746.57
60대 중반,658.51
60대 초반,651.93
60대 후반,571.07
70대 중반,474.82
70대 초반,550.94
70대 후반,417.87
80세 이상,368.99
