age,N_DUSUAL_1
10대 중반,66
10대 초반,71
10대 후반,54
10세 미만,71
20대 중반,75
20대 초반,49
20대 후반,56
30대 중반,94
30대 초반,63
30대 후반,77
40대 중반,81
40대 초반,90
40대 후반,60
50대 중반,91
50대 초반,68
50대 후반,45
60대 중반,52
60대 초반,28
60대 후반,28
70대 중반,28
70대 초반,21
70대 후반,6
80세 이상,12
