age,n_eye
10대 중반,24
10대 초반,21
10대 후반,19
10세 미만,20
20대 중반,21
20대 초반,10
20대 후반,9
30대 중반,9
30대 초반,8
30대 후반,11
40대 중반,16
40대 초반,10
40대 후반,7
50대 중반,11
50대 초반,12
50대 후반,6
60대 중반,23
60대 초반,15
60대 후반,24
70대 중반,27
70대 초반,20
70대 후반,15
80세 이상,32
