age,HE_HP
10대 중반,0
10대 초반,0
10대 후반,2
10세 미만,0
20대 중반,16
20대 초반,6
20대 후반,15
30대 중반,37
30대 초반,10
30대 후반,31
40대 중반,82
40대 초반,46
40대 후반,76
50대 중반,159
50대 초반,83
50대 후반,134
60대 중반,255
60대 초반,158
60대 후반,171
70대 중반,201
70대 초반,196
70대 후반,146
80세 이상,251
