age,N_CA
10대 중반,552.53
10대 초반,543.22
10대 후반,447.21
10세 미만,480.19
20대 중반,482.89
20대 초반,504.07
20대 후반,480.04
30대 중반,501.99
30대 초반,494.58
30대 후반,516.07
40대 중반,514.13
40대 초반,496.19
40대 후반,502.77
50대 중반,534.91
50대 초반,511.95
50대 후반,531.13
60대 중반,510.75
60대 초반,543.49
60대 후반,497.03
70대 중반,433.09
70대 초반,471.27
70대 후반,414.9
80세 이상,361.15
