age,N_CHO
10대 중반,313.05
10대 초반,295.69
10대 후반,274.96
10세 미만,224.17
20대 중반,277.45
20대 초반,272.28
20대 후반,263.97
30대 중반,264.83
30대 초반,265.54
30대 후반,274.73
40대 중반,284.33
40대 초반,273.13
40대 후반,280.2
50대 중반,281.24
50대 초반,278.58
50대 후반,287.78
60대 중반,286.25
60대 초반,291.43
60대 후반,270.21
70대 중반,249.92
70대 초반,265.85
70대 후반,248.37
80세 이상,238.33
