age,HE_BMI
10대 중반,20.83
10대 초반,19.26
10대 후반,21.85
10세 미만,16.73
20대 중반,22.1
20대 초반,22.31
20대 후반,23.27
30대 중반,23.24
30대 초반,23.24
30대 후반,23.3
40대 중반,23.87
40대 초반,23.86
40대 후반,23.79
50대 중반,24.5
50대 초반,24.03
50대 후반,24.34
60대 중반,24.08
60대 초반,24.24
60대 후반,24.29
70대 중반,23.4
70대 초반,23.74
70대 후반,23.47
80세 이상,22.55
