age,N_WAT_C
10대 중반,7.73
10대 초반,8.02
10대 후반,4.7
10세 미만,6.74
20대 중반,4.6
20대 초반,19.76
20대 후반,10.01
30대 중반,11.04
30대 초반,4.93
30대 후반,7.53
40대 중반,4.76
40대 초반,4.68
40대 후반,9.17
50대 중반,6.96
50대 초반,4.56
50대 후반,7.93
60대 중반,6.98
60대 초반,4.57
60대 후반,4.33
70대 중반,3.91
70대 초반,4.39
70대 후반,8.75
80세 이상,3.01
