age,N_DUSUAL_2
10대 중반,62
10대 초반,25
10대 후반,49
10세 미만,146
20대 중반,41
20대 초반,34
20대 후반,15
30대 중반,55
30대 초반,46
30대 후반,34
40대 중반,50
40대 초반,36
40대 후반,35
50대 중반,51
50대 초반,22
50대 후반,33
60대 중반,28
60대 초반,18
60대 후반,21
70대 중반,30
70대 초반,13
70대 후반,14
80세 이상,19
