age,BP8
10대 중반,7.39
10대 초반,8.0
10대 후반,7.0
10세 미만,8.0
20대 중반,7.04
20대 초반,7.37
20대 후반,7.08
30대 중반,6.96
30대 초반,7.18
30대 후반,6.96
40대 중반,6.84
40대 초반,6.84
40대 후반,6.78
50대 중반,6.79
50대 초반,6.77
50대 후반,6.63
60대 중반,6.77
60대 초반,6.76
60대 후반,6.29
70대 중반,6.72
70대 초반,6.45
70대 후반,6.33
80세 이상,7.07
