age,N_CHO
10대 중반,309.11
10대 초반,307.72
10대 후반,305.81
10세 미만,232.24
20대 중반,283.34
20대 초반,278.81
20대 후반,278.1
30대 중반,285.4
30대 초반,289.53
30대 후반,289.54
40대 중반,295.44
40대 초반,301.61
40대 후반,302.23
50대 중반,303.96
50대 초반,301.22
50대 후반,311.17
60대 중반,313.96
60대 초반,307.46
60대 후반,306.33
70대 중반,275.17
70대 초반,307.11
70대 후반,262.17
80세 이상,250.67
