age,FS_COFFEE
10대 중반,0.0
10대 초반,0.0
10대 후반,0.0
10세 미만,0.0
20대 중반,6.2
20대 초반,0.0
20대 후반,4.71
30대 중반,5.59
30대 초반,6.0
30대 후반,5.52
40대 중반,5.21
40대 초반,6.0
40대 후반,5.17
50대 중반,5.36
50대 초반,4.88
50대 후반,6.12
60대 중반,4.75
60대 초반,5.75
60대 후반,0.0
70대 중반,0.0
70대 초반,0.0
70대 후반,0.0
80세 이상,0.0
