age,N_DUSUAL_2
10대 중반,53
10대 초반,40
10대 후반,44
10세 미만,176
20대 중반,41
20대 초반,30
20대 후반,24
30대 중반,46
30대 초반,29
30대 후반,29
40대 중반,49
40대 초반,25
40대 후반,25
50대 중반,43
50대 초반,22
50대 후반,27
60대 중반,28
60대 초반,21
60대 후반,8
70대 중반,35
70대 초반,23
70대 후반,17
80세 이상,23
