age,N_WAT_C
10대 중반,4.79
10대 초반,9.85
10대 후반,14.28
10세 미만,8.56
20대 중반,5.57
20대 초반,5.57
20대 후반,5.3
30대 중반,7.12
30대 초반,5.17
30대 후반,5.24
40대 중반,5.17
40대 초반,7.96
40대 후반,8.23
50대 중반,7.72
50대 초반,5.08
50대 후반,5.35
60대 중반,5.1
60대 초반,8.28
60대 후반,8.12
70대 중반,7.66
70대 초반,8.13
70대 후반,4.33
80세 이상,3.58
