age,N_PROT
10대 중반,83.74
10대 초반,78.27
10대 후반,79.87
10세 미만,51.07
20대 중반,89.94
20대 초반,84.37
20대 후반,76.94
30대 중반,81.7
30대 초반,73.93
30대 후반,75.98
40대 중반,72.73
40대 초반,75.97
40대 후반,74.29
50대 중반,74.13
50대 초반,71.62
50대 후반,68.97
60대 중반,63.45
60대 초반,65.22
60대 후반,63.99
70대 중반,51.16
70대 초반,57.2
70대 후반,45.62
80세 이상,42.76
