age,N_DUSUAL_2
10대 중반,62
10대 초반,38
10대 후반,34
10세 미만,141
20대 중반,28
20대 초반,18
20대 후반,25
30대 중반,40
30대 초반,28
30대 후반,44
40대 중반,35
40대 초반,34
40대 후반,17
50대 중반,36
50대 초반,29
50대 후반,20
60대 중반,30
60대 초반,13
60대 후반,14
70대 중반,35
70대 초반,14
70대 후반,14
80세 이상,16
