age,N_WAT_C
10대 중반,4.67
10대 초반,4.26
10대 후반,5.41
10세 미만,3.14
20대 중반,5.91
20대 초반,5.74
20대 후반,5.9
30대 중반,5.12
30대 초반,5.54
30대 후반,5.16
40대 중반,5.26
40대 초반,5.27
40대 후반,5.34
50대 중반,5.58
50대 초반,5.01
50대 후반,5.35
60대 중반,4.85
60대 초반,5.1
60대 후반,5.07
70대 중반,4.17
70대 초반,4.84
70대 후반,3.58
80세 이상,3.59
