age,N_CHO
10대 중반,318.92
10대 초반,286.03
10대 후반,312.03
10세 미만,220.1
20대 중반,285.33
20대 초반,289.98
20대 후반,268.97
30대 중반,297.24
30대 초반,288.61
30대 후반,292.26
40대 중반,286.33
40대 초반,287.4
40대 후반,293.64
50대 중반,303.35
50대 초반,292.73
50대 후반,294.18
60대 중반,299.99
60대 초반,318.66
60대 후반,296.7
70대 중반,277.23
70대 초반,295.82
70대 후반,271.31
80세 이상,250.04
