age,HE_HP
10대 중반,0
10대 초반,0
10대 후반,1
10세 미만,0
20대 중반,14
20대 초반,5
20대 후반,20
30대 중반,48
30대 초반,22
30대 후반,64
40대 중반,107
40대 초반,83
40대 후반,91
50대 중반,203
50대 초반,143
50대 후반,157
60대 중반,235
60대 초반,168
60대 후반,202
70대 중반,188
70대 초반,166
70대 후반,98
80세 이상,98
