age,HE_HP
10대 중반,0
10대 초반,0
10대 후반,2
10세 미만,0
20대 중반,3
20대 초반,4
20대 후반,11
30대 중반,24
30대 초반,12
30대 후반,16
40대 중반,64
40대 초반,34
40대 후반,74
50대 중반,155
50대 초반,84
50대 후반,130
60대 중반,203
60대 초반,139
60대 후반,167
70대 중반,207
70대 초반,144
70대 후반,120
80세 이상,133
