age,n_eye
10대 중반,23
10대 초반,17
10대 후반,12
10세 미만,21
20대 중반,13
20대 초반,17
20대 후반,12
30대 중반,10
30대 초반,18
30대 후반,6
40대 중반,19
40대 초반,8
40대 후반,17
50대 중반,14
50대 초반,13
50대 후반,9
60대 중반,26
60대 초반,18
60대 후반,23
70대 중반,48
70대 초반,26
70대 후반,25
80세 이상,42
