age,N_DUSUAL_2
10대 중반,54
10대 초반,29
10대 후반,43
10세 미만,144
20대 중반,31
20대 초반,39
20대 후반,25
30대 중반,47
30대 초반,33
30대 후반,43
40대 중반,47
40대 초반,37
40대 후반,22
50대 중반,47
50대 초반,20
50대 후반,23
60대 중반,23
60대 초반,26
60대 후반,18
70대 중반,24
70대 초반,15
70대 후반,20
80세 이상,18
