age,N_CHO
10대 중반,344.13
10대 초반,329.31
10대 후반,322.71
10세 미만,238.27
20대 중반,302.9
20대 초반,301.97
20대 후반,324.87
30대 중반,328.48
30대 초반,332.33
30대 후반,332.16
40대 중반,333.96
40대 초반,338.47
40대 후반,324.63
50대 중반,346.82
50대 초반,334.27
50대 후반,333.27
60대 중반,337.47
60대 초반,334.32
60대 후반,323.21
70대 중반,309.42
70대 초반,308.54
70대 후반,288.82
80세 이상,273.3
