age,N_CA
10대 중반,456.32
10대 초반,474.64
10대 후반,419.04
10세 미만,461.46
20대 중반,466.52
20대 초반,421.39
20대 후반,515.59
30대 중반,509.51
30대 초반,494.25
30대 후반,477.65
40대 중반,514.89
40대 초반,507.67
40대 후반,512.79
50대 중반,521.5
50대 초반,541.55
50대 후반,493.95
60대 중반,432.41
60대 초반,491.17
60대 후반,376.36
70대 중반,345.59
70대 초반,418.53
70대 후반,341.21
80세 이상,310.08
