age,HE_BMI
10대 중반,20.86
10대 초반,19.29
10대 후반,21.59
10세 미만,16.73
20대 중반,22.04
20대 초반,21.91
20대 후반,22.85
30대 중반,23.11
30대 초반,23.06
30대 후반,23.34
40대 중반,23.9
40대 초반,23.77
40대 후반,23.92
50대 중반,24.13
50대 초반,23.87
50대 후반,24.21
60대 중반,24.16
60대 초반,24.2
60대 후반,24.15
70대 중반,23.66
70대 초반,23.82
70대 후반,23.29
80세 이상,22.64
