age,N_VA
10대 중반,758.11
10대 초반,989.75
10대 후반,619.27
10세 미만,563.3
20대 중반,708.63
20대 초반,830.23
20대 후반,712.83
30대 중반,740.1
30대 초반,774.59
30대 후반,612.96
40대 중반,749.18
40대 초반,834.15
40대 후반,780.3
50대 중반,750.12
50대 초반,688.52
50대 후반,851.75
60대 중반,785.01
60대 초반,802.35
60대 후반,683.92
70대 중반,706.48
70대 초반,546.22
70대 후반,558.2
80세 이상,402.42
