age,N_PROT
10대 중반,70.3
10대 초반,63.95
10대 후반,68.03
10세 미만,47.58
20대 중반,71.44
20대 초반,62.91
20대 후반,74.1
30대 중반,71.63
30대 초반,71.11
30대 후반,68.96
40대 중반,67.17
40대 초반,70.49
40대 후반,68.59
50대 중반,67.06
50대 초반,68.3
50대 후반,63.01
60대 중반,55.3
60대 초반,62.0
60대 후반,52.59
70대 중반,45.46
70대 초반,53.85
70대 후반,45.82
80세 이상,40.08
