age,N_FAT
10대 중반,48.31
10대 초반,41.8
10대 후반,50.51
10세 미만,31.79
20대 중반,49.56
20대 초반,45.38
20대 후반,45.78
30대 중반,43.1
30대 초반,44.43
30대 후반,39.79
40대 중반,36.12
40대 초반,38.24
40대 후반,33.17
50대 중반,30.52
50대 초반,32.71
50대 후반,27.59
60대 중반,23.35
60대 초반,27.56
60대 후반,21.97
70대 중반,17.25
70대 초반,19.54
70대 후반,17.53
80세 이상,14.53
