age,BP8
10대 중반,7.21
10대 초반,8.02
10대 후반,6.96
10세 미만,0.0
20대 중반,7.22
20대 초반,7.23
20대 후반,7.11
30대 중반,7.05
30대 초반,7.09
30대 후반,6.96
40대 중반,6.77
40대 초반,6.89
40대 후반,6.75
50대 중반,6.64
50대 초반,6.78
50대 후반,6.66
60대 중반,6.52
60대 초반,6.67
60대 후반,6.43
70대 중반,6.59
70대 초반,6.41
70대 후반,6.58
80세 이상,6.64
