age,n_eye
10대 중반,40
10대 초반,20
10대 후반,42
10세 미만,28
20대 중반,21
20대 초반,20
20대 후반,13
30대 중반,17
30대 초반,11
30대 후반,16
40대 중반,15
40대 초반,11
40대 후반,21
50대 중반,23
50대 초반,14
50대 후반,14
60대 중반,29
60대 초반,23
60대 후반,41
70대 중반,51
70대 초반,38
70대 후반,39
80세 이상,62
