age,E_Q_FAM
10대 중반,55
10대 초반,17
10대 후반,38
10세 미만,0
20대 중반,50
20대 초반,15
20대 후반,48
30대 중반,141
30대 초반,64
30대 후반,114
40대 중반,114
40대 초반,106
40대 후반,76
50대 중반,86
50대 초반,98
50대 후반,56
60대 중반,41
60대 초반,46
60대 후반,34
70대 중반,16
70대 초반,24
70대 후반,10
80세 이상,5
