age,N_FAT
10대 중반,66.29
10대 초반,59.06
10대 후반,62.52
10세 미만,39.89
20대 중반,68.97
20대 초반,67.25
20대 후반,56.23
30대 중반,59.41
30대 초반,54.91
30대 후반,51.57
40대 중반,48.91
40대 초반,49.36
40대 후반,45.31
50대 중반,43.59
50대 초반,40.43
50대 후반,39.75
60대 중반,30.73
60대 초반,34.39
60대 후반,31.0
70대 중반,25.61
70대 초반,26.57
70대 후반,19.99
80세 이상,18.64
