age,N_VA
10대 중반,668.6
10대 초반,639.93
10대 후반,713.93
10세 미만,535.95
20대 중반,842.76
20대 초반,721.89
20대 후반,881.73
30대 중반,982.99
30대 초반,782.08
30대 후반,1036.1
40대 중반,991.9
40대 초반,909.48
40대 후반,866.37
50대 중반,988.5
50대 초반,891.62
50대 후반,890.98
60대 중반,815.07
60대 초반,765.98
60대 후반,677.99
70대 중반,565.11
70대 초반,571.61
70대 후반,477.71
80세 이상,490.5
