age,N_WAT_C
10대 중반,4.55
10대 초반,4.95
10대 후반,4.96
10세 미만,3.1
20대 중반,5.43
20대 초반,4.85
20대 후반,5.83
30대 중반,5.29
30대 초반,5.04
30대 후반,5.29
40대 중반,8.12
40대 초반,5.22
40대 후반,5.36
50대 중반,5.13
50대 초반,5.16
50대 후반,5.03
60대 중반,5.02
60대 초반,5.03
60대 후반,4.5
70대 중반,4.05
70대 초반,4.6
70대 후반,3.88
80세 이상,7.69
