age,N_FAT
10대 중반,55.55
10대 초반,53.47
10대 후반,60.76
10세 미만,41.1
20대 중반,56.8
20대 초반,70.0
20대 후반,55.92
30대 중반,52.63
30대 초반,56.3
30대 후반,58.32
40대 중반,48.62
40대 초반,50.29
40대 후반,47.13
50대 중반,39.6
50대 초반,40.85
50대 후반,37.7
60대 중반,32.04
60대 초반,33.53
60대 후반,30.46
70대 중반,24.27
70대 초반,30.16
70대 후반,20.52
80세 이상,19.92
