age,HE_HP
10대 중반,0
10대 초반,0
10대 후반,2
10세 미만,0
20대 중반,7
20대 초반,3
20대 후반,13
30대 중반,37
30대 초반,16
30대 후반,26
40대 중반,72
40대 초반,53
40대 후반,68
50대 중반,157
50대 초반,87
50대 후반,111
60대 중반,241
60대 초반,136
60대 후반,160
70대 중반,218
70대 초반,185
70대 후반,123
80세 이상,115
