age,N_DUSUAL_1
10대 중반,43
10대 초반,52
10대 후반,35
10세 미만,59
20대 중반,70
20대 초반,38
20대 후반,48
30대 중반,93
30대 초반,43
30대 후반,75
40대 중반,111
40대 초반,70
40대 후반,83
50대 중반,71
50대 초반,57
50대 후반,75
60대 중반,61
60대 초반,40
60대 후반,44
70대 중반,35
70대 초반,39
70대 후반,16
80세 이상,17
