age,N_PROT
10대 중반,75.26
10대 초반,75.49
10대 후반,82.48
10세 미만,50.18
20대 중반,79.46
20대 초반,79.86
20대 후반,78.87
30대 중반,79.7
30대 초반,74.41
30대 후반,78.16
40대 중반,71.21
40대 초반,75.78
40대 후반,71.07
50대 중반,66.42
50대 초반,72.51
50대 후반,66.57
60대 중반,57.88
60대 초반,63.77
60대 후반,61.52
70대 중반,51.06
70대 초반,54.16
70대 후반,52.56
80세 이상,42.64
