age,N_DUSUAL_2
10대 중반,78
10대 초반,44
10대 후반,43
10세 미만,137
20대 중반,46
20대 초반,37
20대 후반,26
30대 중반,68
30대 초반,47
30대 후반,36
40대 중반,46
40대 초반,31
40대 후반,22
50대 중반,26
50대 초반,22
50대 후반,18
60대 중반,21
60대 초반,19
60대 후반,28
70대 중반,19
70대 초반,21
70대 후반,7
80세 이상,7
